CARRIER_IND,Carr,FLT,REPORT_DT,SCH_DPRT_STA_CD,Orig,SCH_ARRV_STA_CD,Dest,SCH_FLEET_TYPE_DSCR,ACT_FLEET_TYPE_DSCR,Gate,SCH_DPRT_DTMZ,SCH_ARRV_DTMZ,SCH_ARRV_DTML,SCH_DPRT_DTML,SCH_CD,DPRT_DELAY_MIN,ARRV_DELAY_MIN,BAG_CNT,CATEGORY,CNXL_CD,CS_D0,CS_RCMD_DPRT_DTMZ,CS_RCMD_DPRT_HOLD_MINUTES,D0,DELAY_CODE,D-OT,EQUIP_CONNECT_CD,EST_CNXL_PAX_CNT,ID,INTL,LEFT_OFF_BAG_CNT,MISCONNECT_CNT,OPER_DELAY_CODE,ORIG_Left_offs,PAX_CNT,PRIORITY_FLT_FLG,RAMP_TCI_DEN,RAMP_TCI_NUM,RETURN_TYPE_CD,SCH_FLEET_TYPE_SHORT_DSCR,Sta Dly,SUBCATEGORY,SUCCESS_CAT,SUCCESS_CD_DSCR,TOTAL_CONNECTIONS,TURN_TYPE,XFER_Left_offs,Area,ARRIVAL_LEG_FLIGHT_NUMBER,ARRIVAL_LEG_ORIGIN,ASM,ATW_Zone,ATW_Zone_Arrv,CG_ARRV_CNT,CG_ARRV_STD,CG_DPRT_CNT,CG_DPRT_STD,COMPLETION_DEN,COMPLETION_NUM,CONX_NRSA,CONX_POSITIVE,CONX_REV,CS_ARRV_CNT,CS_ARRV_STD,CS_DPRT_CNT,CS_DPRT_STD,CURRENT_DT,CURRENT_DTML,Customer_D0,Requotes Delay Reasons,DEP_ind,DEPARTURE_AVAILABLE_GROUND_MINUTES,DEPARTURE_MST_SUCCESS,DIVERT_REASON_CD,EST_ARRV_DTML,EST_ARRV_DTMZ,EST_DPRT_DTML,EST_DPRT_DTMZ,FIRST_VALET_BAG_ON_DTMZ,Hubs_Lines,LAST_UPDATED,LF_NUM,MARKET,MST_INDICATOR,OFF_DTMZ,ON_DTMZ,ORIG_BAGS,ORIG_NRSA,ORIG_POSITIVE,ORIG_REV,prev_act_arrv_dtl,prev_act_arrv_dtml,prev_act_arrv_dtmz,prev_act_arrv_dtz,prev_arrv_diff_minutes,prev_arrv_gate,prev_cnxl_cd,prev_company_id,prev_dprt_sta_cd,prev_flt_num,prev_report_dt,prev_sch_arrv_dtl,prev_sch_arrv_dtml,prev_sch_arrv_dtmz,prev_sch_arrv_dtz,prev_sch_dprt_sta_cd,Ramp_Business_Partner,RCA_25_Bag_Load_Perc,RCA_25_Boarding_Perc,RCA_50_Bag_Load_Perc,RCA_50_Boarding_Perc,RCA_75_Bag_Load_Perc,RCA_75_Boarding_Perc,RCA_95_Bag_Load_Perc,RCA_95_Boarding_Perc,RCA_Boarding_duration_seconds,RCA_company_material_boarded_pounds,RCA_express_freight_boarded_pounds,RCA_flight_notes,RCA_freight_boarded_pounds,RCA_international_mail_boarded_pounds,RCA Root Cause,RCA_Loading_duration_seconds,RCA_priority_mail_boarded_pounds,RCA_root_cause_1,RCA_root_cause_2,RCA_root_cause_3,RCA_total_bags,RCA_total_BE,RCA_total_cold_bags,RCA_total_gate_checks,RCA_total_hot_bags,RCA_total_local_bags,RCA_total_transfer_bags,RCA_wchr_count,RPM,SF_NUM,SLACK,SLACK_DEN,SOC_Zone,SOC_Zone_Arrv,TAXI_IN_MINUTES,TAXI_OUT_MINUTES,TOB_CNT,TOB_STD,TURN_LENGTH,XFER_BAGS,ZONES_COMBINED,ZONES_COMBINED_ARRV,ARRVregion,ARRVregion2,ARRVsubregion,ARRVsubregion2,DEPTregion,DEPTregion2,DEPTsubregion,DEPTsubregion2,TSA0,TSD0,TSIncludeExclude,Turn_Success,OA_Comp_City,_SYSTEM,SUB_REGION,SCH_FLTS,allFlights,24HourClock,String24HourClock,MainlineUAX,STAR-NonSTAR,Priority_ind,MST_Success_Indicator,Delay_flag,INT/DOM,Scheduled_Departure_Date,Early-OnTime,Month,Year,CUST_A14_NUM,TOTAL_PAX,DayofWeek,MST_MINS_BUCKT
ML,UA,1679,4/2/2023,SFO,SFO,CUN,CUN,B737-MAX9,B737-MAX9,E11,4/2/2023 15:45,,4/2/2023 16:10,4/2/2023 8:45,S,44,31,107,Late Opportunity, ,0,,0,0,XA,Late,H ,0,94545841,YES,3,1,  ,3,179,0,3,2, ,7M9,44,Defect - Customer,ATC,XA - Flow Control,6,Standard,0,SFO,2301,ORD,0,Z3,Z3,,,,,1,1,,,,,,,,,,0,,Arrived,581,0,,4/2/2023 16:36,,4/2/2023 9:30,,,Hubs,5/22/2023 1:28,177,D-I,Non-MST,,,,,,,4/1/2023,4/1/2023 23:04,4/2/2023 6:04,4/2/2023,3,E11,,UA,ORD,2301,4/1/2023,4/1/2023,4/1/2023 23:01,4/2/2023 6:01,4/2/2023,ORD,United,256,512.5,742,1032,1030,1409.5,2399,1868.3,,0,0,,0,0,WX - AFP,2248,0,Boarding_Start,FA_Min,Fuelers_Off,117,,3,20,0,94,3,0,0,179,0,0,1,1,10,33,,,,,"ATW-Z3,BTW-Z1,SOC-1","ATW-Z3,BTW-Z1,SOC-1",INTERNATIONAL LINE STATIONS,GLOBAL LINE STATIONS,MEXICO,THE AMERICAS,SFO,SFO,SFO,SFO,A0 Late,D0 Late,Exclude,,San Francisco,SYSTEM,SFO,1,1,8:00 AM,8,Mainline,STAR,Non-Priority,MST Failure,Delayed,International,4/2/2023,0,Apr,2023,0,179,Sun,0
ML,UA,1164,4/2/2023,SFO,SFO,YYZ,YYZ,B737-800,B737-800,E2,4/3/2023 5:56,,4/3/2023 7:00,4/2/2023 22:56,S,9,-17,157,Late Opportunity, ,0,,0,0,IR,D-OT,T ,0,94546577,YES,0,0,  ,0,163,0,6,4, ,738,9,Defect - Customer,Crew - controllable,IR - Crew Late to Aircraft,84,Standard,0,SFO,1563,LIH,0,Z4,Z4,,,,,1,1,,,,,,,,,,0,,Arrived,131,0,,4/3/2023 6:42,,4/2/2023 23:10,,,Hubs,5/22/2023 1:28,163,D-I,Non-MST,,,,,,,4/2/2023,4/2/2023 20:45,4/3/2023 3:45,4/3/2023,-4,E2,,UA,LIH,1563,4/2/2023,4/2/2023,4/2/2023 20:49,4/3/2023 3:49,4/3/2023,LIH,United,309,736.5,691,1016,1983,1534.5,2456,1819.5,,0,0,,0,540,FA Cxn,2571,473,FA_Min,Boarding_End,Cargo_Door_Close,157,,77,35,0,32,90,3,0,163,66,1,2,2,9,31,,,,,"ATW-Z4,BTW-Z1,SOC-2","ATW-Z4,BTW-Z1,SOC-2",INTERNATIONAL LINE STATIONS,GLOBAL LINE STATIONS,CANADA,THE AMERICAS,SFO,SFO,SFO,SFO,A0 On Time,D0 Late,Exclude,,San Francisco,SYSTEM,SFO,1,1,10:00 PM,22,Mainline,Non-STAR,Non-Priority,MST Failure,Delayed,International,4/2/2023,0,Apr,2023,163,163,Sun,0
ML,UA,821,4/2/2023,SFO,SFO,MEX,MEX,A319-100,A319-100,F3,4/2/2023 20:12,,4/2/2023 18:45,4/2/2023 13:12,S,145,133,83,Late Opportunity, ,0,,0,0,  ,Late,T ,0,94546983,YES,0,0,LT,0,89,0,4,4, ,319,0,Defect - Customer,LT,LT - Late Turn,38,Quick,0,SFO,2070,PSP,0,Z4,Z4,,,,,1,1,,,,,,,,,,0,,Arrived,-95,1,,4/2/2023 20:54,,4/2/2023 15:39,,,Hubs,5/22/2023 1:28,89,D-I,MST,,,,,,,4/2/2023,4/2/2023 14:47,4/2/2023 21:47,4/2/2023,-12,F3,,UA,PSP,2070,4/2/2023,4/2/2023,4/2/2023 14:59,4/2/2023 21:59,4/2/2023,PSP,United,192,329,367,509,547,826,1404,1016.8,,154,0,,0,0,MST Success,1885,0,,,,89,,46,6,0,34,49,3,0,89,-147,1,4,4,13,15,,,,,"ATW-Z4,BTW-Z4,SOC-4","ATW-Z4,BTW-Z4,SOC-4",INTERNATIONAL LINE STATIONS,GLOBAL LINE STATIONS,MEXICO,THE AMERICAS,SFO,SFO,SFO,SFO,A0 On Time,D0 On Time,Exclude,,San Francisco,SYSTEM,SFO,1,1,1:00 PM,13,Mainline,Non-STAR,Non-Priority,MST Success,Delayed,International,4/2/2023,0,Apr,2023,0,89,Sun,0
ML,UA,460,4/2/2023,SFO,SFO,YVR,YVR,A320-200,A320-200,A1,4/3/2023 1:27,,4/2/2023 20:53,4/2/2023 18:27,S,369,357,94,Late Opportunity, ,0,,0,0,VF,Late,T ,0,94547043,YES,4,0,LT,1,149,0,2,1, ,320,67,Defect - Customer,Process - controllable,OC - Other Carrier Controllable,30,Quick,3,SFO,1272,MEX,0,Station,Station,,,,,1,1,,,,,,,,,,0,,Arrived,-239,0,,4/3/2023 2:46,,4/3/2023 1:00,,,Hubs,5/22/2023 1:28,145,D-I,MST,,,,,,,4/2/2023,4/2/2023 22:26,4/3/2023 5:26,4/3/2023,89,A1,,UA,MEX,1272,4/2/2023,4/2/2023,4/2/2023 20:57,4/3/2023 3:57,4/3/2023,MEX,United,227,374.5,467,619,871,831.5,1060,1043.2,,0,0,,0,0,Fueling,3522,0,After_Last_Bag_On,Last_Bag_On,Boarding_End,74,,19,2,7,40,32,0,0,149,-302,1,5,5,8,18,,,,,"ATW-Station,BTW-Station,SOC-5","ATW-Station,BTW-Station,SOC-5",INTERNATIONAL LINE STATIONS,GLOBAL LINE STATIONS,CANADA,THE AMERICAS,SFO,SFO,SFO,SFO,A0 Late,D0 Late,Exclude,,San Francisco,SYSTEM,SFO,1,1,6:00 PM,18,Mainline,Non-STAR,Non-Priority,MST Failure,Delayed,International,4/2/2023,0,Apr,2023,0,149,Sun,0
ML,UA,1271,4/2/2023,SFO,SFO,MEX,MEX,A320-200,A320-200,E10,4/2/2023 17:44,,4/2/2023 16:15,4/2/2023 10:44,S,102,82,75,Late Opportunity, ,0,,0,0,UN,Late,T ,0,94547190,YES,2,0,LT,0,145,0,4,4, ,320,9,Defect - Customer,Process - controllable,OC - Other Carrier Controllable,42,Quick,2,SFO,1449,YVR,0,Z3,Z3,,,,,1,1,,,,,,,,,,0,,Arrived,-33,0,,4/2/2023 17:33,,4/2/2023 12:17,,,Hubs,5/22/2023 1:28,141,D-I,MST,,,,,,,4/2/2023,4/2/2023 11:17,4/2/2023 18:17,4/2/2023,110,E10,,UA,YVR,1449,4/2/2023,4/2/2023,4/2/2023 9:27,4/2/2023 16:27,4/2/2023,YVR,United,177,320,574,559,996,787,2080,1027.2,,0,22,,297,0,Boarding End,2678,0,Boarding_End,Boarding_Start,Cleaners_Off,74,,21,8,5,40,26,1,0,145,-93,1,1,1,13,15,,,,,"ATW-Z3,BTW-Z1,SOC-1","ATW-Z3,BTW-Z1,SOC-1",INTERNATIONAL LINE STATIONS,GLOBAL LINE STATIONS,MEXICO,THE AMERICAS,SFO,SFO,SFO,SFO,A0 Late,D0 Late,Exclude,,San Francisco,SYSTEM,SFO,1,1,10:00 AM,10,Mainline,Non-STAR,Non-Priority,MST Failure,Delayed,International,4/2/2023,0,Apr,2023,0,145,Sun,0
ML,UA,1189,4/2/2023,SFO,SFO,SJD,SJD,A320-200,A320-200,F17,4/2/2023 16:05,,4/2/2023 12:18,4/2/2023 9:05,S,67,61,103,Late Opportunity, ,0,,0,0,  ,Late,T ,0,94547324,YES,1,0,LT,0,150,0,4,3, ,320,0,Defect - Customer,LT,LT - Late Turn,3,Quick,1,SFO,1763,MCI,0,Z1,Z1,,,,,1,1,,,,,,,,,,0,,Arrived,-14,1,,4/2/2023 13:12,,4/2/2023 10:10,,,Hubs,5/22/2023 1:28,150,D-I,MST,,,,,,,4/2/2023,4/2/2023 9:19,4/2/2023 16:19,4/2/2023,-9,F17,,UA,MCI,1763,4/2/2023,4/2/2023,4/2/2023 9:28,4/2/2023 16:28,4/2/2023,MCI,United,415,485.25,857,775,1141,1060,1373,1325.65,,0,0,,0,0,MST Success,1935,0,,,,102,,3,4,0,95,3,0,0,150,-74,1,3,3,11,14,,,,,"ATW-Z1,BTW-Z3,SOC-3","ATW-Z1,BTW-Z3,SOC-3",INTERNATIONAL LINE STATIONS,GLOBAL LINE STATIONS,MEXICO,THE AMERICAS,SFO,SFO,SFO,SFO,A0 On Time,D0 On Time,Exclude,,San Francisco,SYSTEM,SFO,1,1,9:00 AM,9,Mainline,Non-STAR,Non-Priority,MST Success,Delayed,International,4/2/2023,0,Apr,2023,0,150,Sun,0
ML,UA,583,4/2/2023,SFO,SFO,YVR,YVR,A319-100,A319-100,F16,4/2/2023 17:40,,4/2/2023 13:06,4/2/2023 10:40,S,7,-1,100,OTHER, ,1,4/2/2023 17:51,11,0,FN,D-OT,T ,0,94547776,YES,1,12,  ,1,118,0,4,4, ,319,7,Defect - Departure,Process - controllable,OC - Other Carrier Controllable,43,Standard,0,SFO,694,SEA,0,Z1,Z1,,,,,1,1,,,,,,,,,,1,,Arrived,86,0,,4/2/2023 13:03,,4/2/2023 10:40,,,Hubs,5/22/2023 1:28,116,D-I,Non-MST,,,,,,,4/2/2023,4/2/2023 9:14,4/2/2023 16:14,4/2/2023,-16,F16,,UA,SEA,694,4/2/2023,4/2/2023,4/2/2023 9:30,4/2/2023 16:30,4/2/2023,SEA,United,260,697.75,770,903,2099,1196,2766,1402.35,,0,0,,2,0,Unknown,2789,0,After_Boarding_End,After_Last_Bag_On,,102,,28,15,4,55,32,1,0,118,34,1,3,3,6,21,,,,,"ATW-Z1,BTW-Z3,SOC-3","ATW-Z1,BTW-Z3,SOC-3",INTERNATIONAL LINE STATIONS,GLOBAL LINE STATIONS,CANADA,THE AMERICAS,SFO,SFO,SFO,SFO,A0 On Time,D0 On Time,Include,-1,San Francisco,SYSTEM,SFO,1,1,10:00 AM,10,Mainline,Non-STAR,Non-Priority,MST Failure,Qualified Hold,International,4/2/2023,0,Apr,2023,118,118,Sun,0
ML,UA,1145,4/2/2023,SFO,SFO,CUN,CUN,B737-MAX9,B737-MAX9,E11,4/3/2023 6:16,,4/3/2023 6:41,4/2/2023 23:16,S,31,6,105,Late Opportunity, ,0,,0,0,VZ,D-OT,T ,0,94547885,YES,1,0,LT,1,172,0,3,3, ,7M9,24,Defect - Customer,Security - uncontrollable,OZ - Security,22,Quick,0,SFO,1971,MIA,0,Z3,Z3,,,,,1,1,,,,,,,,,,0,,Arrived,63,0,,4/3/2023 6:48,,4/2/2023 23:50,,,Hubs,5/22/2023 1:28,172,D-I,MST,,,,,,,4/2/2023,4/2/2023 22:13,4/3/2023 5:13,4/3/2023,18,E11,,UA,MIA,1971,4/2/2023,4/2/2023,4/2/2023 21:55,4/3/2023 4:55,4/3/2023,MIA,United,249,391.5,548,597,987,779.75,3012,973.8,,0,0,,0,0,Late Cabin Cleaning - Off,812,0,Cleaners_Off,Cleaners_On,Aircraft_Door_Close,108,,19,15,0,72,21,3,0,172,-7,1,1,1,5,28,,,,,"ATW-Z3,BTW-Z1,SOC-1","ATW-Z3,BTW-Z1,SOC-1",INTERNATIONAL LINE STATIONS,GLOBAL LINE STATIONS,MEXICO,THE AMERICAS,SFO,SFO,SFO,SFO,A0 Late,D0 Late,Exclude,,San Francisco,SYSTEM,SFO,1,1,11:00 PM,23,Mainline,Non-STAR,Non-Priority,MST Failure,Delayed,International,4/2/2023,0,Apr,2023,172,172,Sun,0
ML,UA,412,4/2/2023,SFO,SFO,MEX,MEX,A319-100,A319-100,E6,4/3/2023 5:45,,4/3/2023 4:05,4/2/2023 22:45,S,53,39,54,Late Opportunity, ,0,,0,0,  ,Late,T ,0,94547985,YES,0,0,LT,0,46,0,4,3, ,319,0,Defect - Customer,LT,LT - Late Turn,21,Quick,0,SFO,2482,PDX,0,Z3,Z3,,,,,1,1,,,,,,,,,,0,,Arrived,-10,1,,4/3/2023 4:47,,4/2/2023 23:42,,,Hubs,5/22/2023 1:28,46,D-I,MST,,,,,,,4/2/2023,4/2/2023 22:55,4/3/2023 5:55,4/3/2023,75,E6,,UA,PDX,2482,4/2/2023,4/2/2023,4/2/2023 21:40,4/3/2023 4:40,4/3/2023,PDX,United,147,70,258,203,337,304.5,494,379,,3,0,,0,0,MST Success,550,0,,,,55,,22,0,3,28,27,0,0,46,-62,1,1,1,4,23,,,,,"ATW-Z3,BTW-Z1,SOC-1","ATW-Z3,BTW-Z1,SOC-1",INTERNATIONAL LINE STATIONS,GLOBAL LINE STATIONS,MEXICO,THE AMERICAS,SFO,SFO,SFO,SFO,A0 Late,D0 On Time,Exclude,,San Francisco,SYSTEM,SFO,1,1,10:00 PM,22,Mainline,Non-STAR,Non-Priority,MST Success,Delayed,International,4/2/2023,0,Apr,2023,0,46,Sun,0
ML,UA,1212,4/2/2023,SFO,SFO,PVR,PVR,A320-200,A320-200,E7,4/2/2023 15:40,,4/2/2023 13:27,4/2/2023 8:40,S,10,35,100,Late Opportunity, ,0,,0,0,XA,Late,T ,0,94548524,YES,0,0,  ,0,150,0,4,3, ,320,10,Defect - Customer,ATC,XA - Flow Control,11,Dynamic,0,SFO,1483,LAS,0,Z3,Z3,,,,,1,1,,,,,,,,,,0,,Arrived,73,0,,4/2/2023 13:50,,4/2/2023 8:53,,,Hubs,5/22/2023 1:28,149,D-I,Non-MST,,,,,,,4/2/2023,4/2/2023 7:27,4/2/2023 14:27,4/2/2023,-11,E7,,UA,LAS,1483,4/2/2023,4/2/2023,4/2/2023 7:38,4/2/2023 14:38,4/2/2023,LAS,United,500,501.5,977,726,2013,966.25,2194,1262.85,,0,0,,0,0,WX - AFP,2506,0,Boarding_End,Fuelers_Off,After_Last_Bag_On,104,,2,6,3,93,5,2,0,150,13,1,1,1,19,31,,,,,"ATW-Z3,BTW-Z1,SOC-1","ATW-Z3,BTW-Z1,SOC-1",INTERNATIONAL LINE STATIONS,GLOBAL LINE STATIONS,MEXICO,THE AMERICAS,SFO,SFO,SFO,SFO,A0 On Time,D0 Late,Exclude,,San Francisco,SYSTEM,SFO,1,1,8:00 AM,8,Mainline,Non-STAR,Non-Priority,MST Failure,Delayed,International,4/2/2023,0,Apr,2023,0,150,Sun,15-Nov
